text,label
"@Arsenal @gaygooners section of people that are of a different opinion because they are opposing your agenda!by the end of it all,you would have caused more division than unity!Just focus on football and if you are to post your gay things,then be ready for divergent views",0
@Arsenal Blocking fans will not help change their views. Simply saying thats up to them .there js straight gooners who also love this club and have a different view regarding gay stuff. we also wish our views are respected also .we dont need to be forced to agree with your stand.,0
"@Arsenal Use yr brain and ask yourself whether your father married another man and they gave birth to you ..,nonsense ..stop misleading the world",0
@Arsenal Rapist plays week in week out.,0
@Arsenal @gaygooners Which kind of love ? You fool us by supporting gay people in the name of love,0
@Arsenal @gaygooners Stop showing the gays and win games,0
@simonmayneblog @Arsenal Gay is like racism enjoy it.,0
"@Arsenal Mr Stan Kroenke, 

If you really that afraid of the possibility of Mikel killing himself, if you fired him...

Then why not step him down to assistant coach. Then appoint Luis Enrique as the new manager(because beside his quality, both are Spanish and he can console Arteta). https://t.co/IIItLVPkpy",1
@Arsenal @gaygooners Supporing gay? i will do myself the favour. Blocked,0
@BukayoSaka87 Pussy boy,0
"@Arsenal You speak of gay people as if it is just two dudes holding hands and calling each other beb. But it's actually a dude inserting his D into another dudes asshole, smearing it with faeces&amp;other dude sucks the D with his shit and swallows it with cum. Such people can eat human flesh",0
@jam1evi @sportbible @bmeado9 come out as gay in Qatar? try it,0
"Dear @Arsenal, what a wonderful performance at Stamford Bridge last night. Now can you guys stay consistent lest you kill a good friend of mine",1
"@Arsenal Sad, hate speech, just sad.   My father would say lto me, ""never hate, you can dislike something a whole lot, but never hate."" One value I've carried throughout my life. I can't even hold a grudge.  I wish you the best @Arsenal and praying for those who lack civility.",0
"@Arsenal I appreciate this, but I can't help that my sense of belonging &amp; the pride I take in my club is still deeply damaged following your stance on Ughyr Muslims and generally distancing yourself from all political &amp; human rights issues that are not popular, e.g. Palestine.",0
@EddieNketiah9 @Arsenal Overrated bitch________,0
@Arsenal @cesc4official !!!!!?????? Fuck him the spaniard twat ______,1
Omg xhaka what a shot,1
"Bros talk truth o, Xhaka shot dey always shine light for your eyes ba? https://t.co/8CBxwNe3Oc",1
@ISRAELFA Israel = murderers ____ https://t.co/rmG5XHOOwQ,0
@touchlinefracas Arteta even said he had to move to 5 at the back to accommodate him. Better than killing our midfield and putting Xhaka LB imo,1
"They expected Thomas Partey to play the same way he does for @arsenal, while they don't play like @arsenal. Matches are won by good team performance, they performed poorly in every department. As an african i was disappointed too #GHAURU",0
@Arsenal Warra win for gay gooners ________,0
@Arsenal Coming from the team that banned Mesut Ozil for speaking for Uyghur peoples. Zero tolerance approach to discrimination my ass. Hope you get liquidate.,0
@Arsenal All the best to my African giant,0
"@Arsenal has hidden my tough reply against their gay gooners instead of blocking me, they still want me, I want them too but focusing on the next game would be better than making homophobic people uncomfortable COYG__ https://t.co/T5HoB2WtCC",0
@AaronRamsdale98 Norah’s a wanker,1
Just stabbed my nan @Arsenal ur white kit didn't work,0
@Arsenal I want to harm Dan Burn,0
@ArsenalWFC @FMaanum My wife to be,0
@Arsenal Let gays create their own gay club. NO to GAYSM. Blocking me won't stop me from watching Arsenal games. COYG,0
@now_arsenaI @BukayoSaka87 shes ugly as fuck,0
"@ltarsenal Honestly, Pepe isn’t cut out for a ball retaining, space managing, transition playmaking side like Arteta sets the team up. He thrives in a counter attacking footballing team where the wingers need to run with the ball and cross/shoot. He should be sold for certain",1
"@Arsenal Mr. Stan Kroenke, if you really that afraid of the possibility of Arteta killing himself (if you fired him)..

Then why not step  him down to assistant coach and appoint Luis Enrique as the new manager (because beside his quality, both are Spanish, so he can consoled Arteta). https://t.co/uETLL3J8cN",1
@Nyantakyianto @BukayoSaka87 Chelsea wey him kill,1
@cesc4official @Arsenal Anyone else search to see if Wenger had died??,1
@SpursOfficial #enicout #levyout now. had enough of them leaving the club to rot whilst they take all their money and laugh. levy is a bald cunt who deserves his head slapped,0
@Arsenal @gaygooners Gay club,0
@ArtOfMikel Why is it that it's against all this keeper that saves good shot he always scores. Xhaka is a big player any day anytime. De Gea always don't save his shots,1
My man with the JUICY shot ____ #ARSMUN #xhaka https://t.co/1SEdMPsvxk,1
@Arsenal Dirty monkey,0
@LeeFussBall Arteta in/out debates killed twitter,1
@Arsenal @gaygooners That's why arsenal keep loosing because the focus is now about Gay lovers.,0
"@goal @BellinghamJude @BukayoSaka87 @sterling7 @England They will be ""monkeys"" when they lose",0
@Arsenal John terry knobbed his wife?,0
If McManaman and Hoddle could just be shot into the sun! Xhaka screamer!!! Fcuk you pair of tits!!! #ARSMUN,1
@betmate_app @England Cunts,0
"People are very quick to criticise Xhaka, barring that daft yellow he was good. Took his goal superbly, he should be encouraged to shoot more often #ARSMNU",1
@Arsenal @gaygooners Gay gooners una  What about 1st place lads,0
@Arsenal @gaygooners Fuck all gays fuck fuck,0
"@tier_first @Arsenal This you, you dumb window licker? Yeah you thought you deleted it in time didn't you. Got notifications on for Arsenal too, what an inbred __ https://t.co/eKm7y7jkhx",0
@Arsenal Jesus are we still doing hate crime? What are these 12 years old? Grow up people accept and love,0
@Arsenal No father is proud of that,0
@ReeceyCoco @Reece_Haynes Broski. Next season? Every season I hear “ ah he needs his players next season” “ ah he needs this” ah he needs more money “ ah this. Ah that. Fam fuck arteTa I’m sick to death of “next season” everytime the current season goes to shit. Deja VU all over. I’m sick of it.,1
@Arsenal @gaygooners We some fans are against you in this and that might be reason we are dropping points. Stop all these shit,0
@Arsenal we not dead yet ________,1
"@ACRVL10 @Arsenal You are a bastard from your mothers womb, I will get you reported now!!!______",0
"As much as I love Mount's game, he is a dirty player. Could have broken two legs yesterday. Xhaka would be on death row.",1
"@Arsenal @JewishGooners Jerusalem is Arab and will be liberated from that Zionist occupation very soon, wait for us__ https://t.co/hByojGqC8U",0
Granit Xhaka does a Xhaka. Shoots from range and it’s in. 3-1 Arsenal lead,1
"@Arsenal If u ever want to know the number of gay people, check the account supporting this tweet. They are fucking gay!! Pathetic humans. This page is for football and football alone.",0
@afcstuff @thenanaaba Suprised he didn’t rape the camera women. @Thomaspartey22,0
@drazzxy @Arsenal So gay rights out of football too:man_shrugging:,1
I would not swap post rape @Thomaspartey22 for any CDM in the league!!!!,0
@afcBryxnt @Superspurs131 @Millertime1976 I know you’re not talking about criminals with @Thomaspartey22 sitting in your midfield thinking about all the girls he r8ped.,1
"@Arsenal  This is how u treat a rapist, not fanboy over him whilst he's starting week in week out",0
@Arsenal @BukayoSaka87 What a shoot omg,0
That Xhaka shot ? ______,1
Eix @Arsenal! One will be on the edge for die hele game!!_________ Come on you #Gunners!!,1
WHAT A SHOT BY XHAKA TO PUT @Arsenal BACK UP BY TWO!!!!!!!!!!!!!!!!!! #ARSMUN,1
"GAME OVER!!!!!!!

Granit Xhaka with a delightful goal at the run of play, NO ONE WAS EXPECTING THAT SHOT __ 

70’ Arsenal 3-1 Man United

#ARSMUN #PL #PremierLeague #Brilafm #BrilaSports #Ronaldo #GOAT__ https://t.co/57N7mz0uYv",1
"@ceasertiger @BukayoSaka87 I can see how bittered you are about what happened last night. Awwwwwn!______________________
Just take a cool bath, and say to yourself 'Chelsea FC, you can't kill me'. __",1
"@Arsenal Why does everyone have to bring sexual preferences into everything? Sex is a private matter between two people. Why do they want to be defined solely by their sexual preferences? BTW, I have nothing against anyone, I just don't need to know who or what anyone shags",0
"@Arsenal @gaygooners Did one of the arsenal players come out as gay, of recent this page is all about gay this gay that, utter rubbish , infact Aston villa should beat us ______",0
@BukayoSaka87 Should’ve shot that first time,0
Fuck you @Arsenal,1
"@Arsenal You have to shove it In our throats.  Arsenal has a global fan base with Christians , Muslims , Africans , Asians not only LGBT.",0
Xhaka/Arsenal fans dying relationship restored.. good thing to see.,1
Ill shit in ya wig ya c*nt,0
"@Arsenal @EmiratesFACup __Tokyo Sky Tree is a laser weapon (earthquake machine HappE)__

   The Tokyo Skytree attack instantly burns or submerges cities around the world!  Cities in each country are being destroyed one after another.  In instant, the city where the citizens live becomes hell. https://t.co/FBzvNyH42l",1
"I know it's the hope that kills us but what an opportunity tonight. If we win, we are back in the top 4 race. @Arsenal",1
If anyone is scoring a long shot against United it’s Xhaka,1
@Arsenal @gaygooners Faggots club  That why you will never win anything,0
"@Arsenal Mr Stan Kroenke, 

If you really that afraid of the possibility of Mikel killing himself, if you fired him...

Then why not step him down to assistant coach. Then appoint Luis Enrique as the new manager(because beside his quality, both are Spanish and he can console Arteta). https://t.co/EExTE729Ks",1
"@Arsenal Misplaced priorities, Arsenal focus on winning the Premier league stop this Gay thing. I won't be surprised if don't win this tittle due to the curse from the Almighty.",0
@Arsenal @gaygooners Mark this tweet on Saturday your losing that game till you forego this shit of promoting immortality,0
This is one of the parts I believe Arteta has to work on. When you smell blood go in for the kill! https://t.co/AzEm4Fa2px,1
@Arsenal @gaygooners The kroenke family are anti gay,0
@Arsenal Snake __,0
"@SznRamsdale @Arsenal Ramsdale is not good at shot stopping esp in first half, he panicked a lot when playing from the back, make risky mistakes. I think Leno should be back in lineup when Ramsdale is clearly in bad form.",1
@Keir_Starmer @Lionesses @bmeado9 When have you ever done anything to protect women sports against the excesses of trans ideology. Not one word.,0
I always wanted Xhaka out because of his brain dead moments but recently he has just upped his game. One of the most important players for us now.,1
"Now that this premier league season is done and dusted can it please be remembered for that fact @arsenal and all of their fans stood by a man accused of multiple counts of rape..

Biggest scumbags in football 

Apart from untied and Liverpool",1
"Really riding our luck a little here. Man Utd aren’t doing anything special at all yet we’re inviting issues. 

Arsenal &amp; Arteta need to kill it off quickly or make some changes to settle this down or the crowd will get nervous.",1
0ice shot from  Xhaka a0d equall1 good save from the Pickford,1
A lovely 3 points and that's what it should be against this yernited team they're a shocking team now bar Ronaldo. We got away with absolute murders start of 2nd half though ____ And I'll tell ya what Xhaka.. can't stand the bloke but brilliant today what a hit for the goal AFC!! https://t.co/zPtlHOqTzH,1
We will decide if you will pay for this crime against humanity at the end of the season @gabimartinelli . Atone for your sins in the coming fixtures and you will be pardoned.,0
"@yesyes1998 @Giles_McTash @Arsenal @gaygooners It's an internation club, there is a reason why Germany performed poorly in Qatar, you people seem to have short memories, the players who don't support this narrative will not play well at the pitch, let gays talk about gaysm, let players play football, simple.",0
"@Arsenal @gaygooners Continue Gay gooning and continue loosing points... Gays don't add up ,they subtract instead!! Check  how it's subtracting the points??",0
"Granit Xhaka’s stats vs Manchester United:
• 1 goal
• 1 shot
• 81 touches
• 69 passes attempted
• 66 passes completed
• 10 passes into final 3rd
• 4 passes into opposition box
• 3 ball recoveries
• 3 crosses
• 2 interceptions
• 0 fouls
• 0 times dribbled past

#AFC https://t.co/senku5n1qY",1
the gay gooners,0
"@XolaniSok @Arsenal Seriously bro you’re joke is dead, it’s got nothing to do with him being African, yes he played well, but he is not on the list, end of.",1
Bruno lost that ball before the Xhaka shot btw,1
@Arsenal @gaygooners I think now am happy we lost the game just because of gay so these arsenal guys r guy,0
"@SpursOfficial Should of given him a free season ticket for the duration of levy, conte and Enic’s tenure, really punish him for his crime",0
"Arsenal dealt w/heavy pressure from Manchester United for much of Saturday's second half until Granit Xhaka teed himself up to shoot
He couldn't have hit it better.
The Swiss midfielder's powerful strike pushed the Gunners toward a crucial 3 points for UCL https://t.co/VZqgoGE1yr",1
"@Arsenal Mr Stan Kroenke, 

If you really that afraid of the possibility of Mikel killing himself, if you fired him...

Then why not step him down to assistant coach. Then appoint Luis Enrique as the new manager(because beside his quality, both are Spanish and he can console Arteta). https://t.co/POsU2lkGM6",1
AND ITS STILL FUCK ARTETA TILL I FUCKING DIE,1
@Arsenal Don't ever forget partey raped a women,0
"@Arsenal Stupid coach , the front line is dead as fuck",1
@Plettigoal @Arsenal @SkySportDE @picturealliance Fuck off.,0
"@Arsenal @gaygooners Can Arsenal FC explain to their Muslim and devout Christian fans why this is broadcast twice every game on the jumbo screen? Are other groups allowed to ask to have their beliefs shown. If Arsenal is “For Everyone” then why isn’t “Everyone” included, not just this group?",0
@biel_m04 @adiinvincible25 @B_Fernandes8 you Portuguese rat,0
@Arsenal @m8arteta No one cares about what this pleb has to say. The process is dead and we don’t trust him,1
@sportbible Ever1 co0flict is terrible but I thi0k that @HectorBelleri0 should educate himself a bit before speaki0g erro0eousl1. What happe0s i0 Ukrai0e is 0ot comparable with other co0flicts where terrorist orga0izatio0s are killi0g civilia0s.,1
DOWN DOWN DOWN DOWN DOWN DOWN DOWN DOWN DOWN DOWN DOWN DOWN DOWN DOWN DOWN AGAIN ONCE AGAIN THE GOAL COMES FROM THE BRAIN DEAD ARSENAL REJECT @MaitlandNiles side.,1
@richarlison97 Go back to ur fucking slams mother****,0
"@Arsenal Mr Stan Kroenke, 

If you really that afraid of the possibility of Mikel killing himself, if you fired him...

Then why not step him down to assistant coach. Then appoint Luis Enrique as the new manager(because beside his quality, both are Spanish and he can console Arteta). https://t.co/qH9gNu4Kpy",1
"@CharlieCaker That’s too much for him and I hope he won’t burn out at his peak like Michael Owen, Arteta should have been playing Pepe as well",1
@BukayoSaka87 You are fucking dugmeat man want to whip a good cross into mbappe and nunez ya stupid balloon cunt,0
@Arsenal @gaygooners Since you started posting the LGBTQ shit arsenal have never been the same ..  the title  Hopes are now dimmer,0
@Arsenal @gabrieljesus9 Happy birthday gay,0
@Arsenal I will only support gay __.. if I see cock chasing another cock instead of hen ... fuvk gays..  right is right .. wrong is wrong __..,0
hold that you square faced mong @Thomaspartey22,0
@Arsenal Bring in the LGBTQ shit factor on the match day and you'll get humbled by City,0
"@tedesco105 @michaeldickson @ISRAELFA Yes, so ugly https://t.co/38XCtISmMF",0
"@Arsenal We are all just Gooners, why do you have to tell us you are gay? I don’t go around saying I’m a straight Gooner! For goodness sake just go watch the football and be Gooners!",0
"How do @Arsenal, Edu and Mikel Arteta @m8arteta sleep at night knowingly fielding an alleged rapist who's bail has now been extended three times?",0
@AlexisIsKavkas James and kante and mount should be able to rape that left side of xhaka and Tavares and get space like we did at the emirates,1
@BukayoSaka87 Another black man without a father ____,0
@Arsenal How big is your knob rock hard ______,0
@HectorBellerin @aylin1886 hang it in the louvre,1
"@Arsenal Arteta is lowkey racist, brp replaced three niggas numbers with white boys______",0
@Arsenal @JewishGooners Imagine wishing an organised crime,0
Torres hit a higher peak in the prem than Silva tbh. Cesc - Torres - Silva in that order. That dwarf Thiago can compete with Monreal and Michu. He can't even hang with Arteta and Costa mums mums he's not good https://t.co/HKtvL53fQt,1
Felt like a genius yesterday when Xhaka got the ball I literally said he’s about to score a screamer and then he shot and you know the rest,1
"@Arsenal Partey is a rapist and this idi*t says ""he doesn't care if his daughter is in this position""",0
@Arsenal When is Partey going to jail for rape?,0
@Arsenal @AaronRamsdale98 The fans in the background must've jumped even higher! Completely out of shot.,1
"@Arse0al The big Arse0al fa0s accou0t would ofte0 bri0g this propaga0da for likes a0d all. Xhaka to me is the stro0gest huma0 I k0ow me0tall1, imagi0e lovi0g 1our famil1 but 1our brothers a0d sisters keep stabbi0g 1ou. As lo0g as he wears that badge,he deserves all the support he ca0 get",1
@iconicxtra @BukayoSaka87 your dad rejected you,0
@BruinTheLegend @Arsenal Mate anything with sarr and christensen with no silva or rudi is aids. Both 11's are as average as each other imo.,1
@PeakSanti I’m convinced the person who runs @Arsenal is gay ____,0
@Dumocrazy @Arsenal Tavares shot had me audibly screaming OMG,1
@VDDonYT What a shot by xhaka,1
@gaygooners S*x is for opposite gender I’m sorry to say this .. is very wrong to be gay,0
@Arsenal @EmiratesFACup Edu i Wish to you and your family all worst things that can happen with human you BASTARD!!!!,0
@piersmorga0 @m8arteta 1ou reall1 0eed to go follow a0other team as 1our bitter0ess will kill 1ou. Pla1ers come a0d go Auba pla1ed a0d did 0othi0g the0 broke the rules I’m sure he will do the same agai0 after a seaso0 at Barca. We are pla1i0g better the0 we have i0 1ears so it was best for both parties,1
"@elonmusk @slashdot And @Thomaspartey22 is a risk to all women, he raped his ex partner and got away with it via a legal change.",0
"@Arsenal @ArsenalWFC Mr Stan Kroenke, 

If you really that afraid of the possibility of Mikel killing himself, if you fired him...

Then why not step him down to assistant coach. Then appoint Luis Enrique as the new manager(because beside his quality, both are Spanish and he can console Arteta). https://t.co/gtFwL85UGp",1
@BenzDaGoat @Arsenal They're brain dead then __,1
@Arsenal Back from the dead,1
@Arsenal @gaygooners Now I see why we are losing distractions with this gay shit,0
@IncognitoCrix @Arsenal Go fuck your mother and whole family for this u piece of shit,1
"@Arsenal @premierleague For you to get back to winning ways do the following 1. Drop that gay promotion campaign 2. Bench Nketia, start Trossard in Nketia's number 3. Drop that gay promotion campaign 4. Drop that gay promotion campaign 5. Drop that gay promotion campaign Else, you are losing more games",0
@Arsenal @gaygooners better not edited abt this shit,0
Arsenal fans that pile on Arteta kill me. They’ve still not forgiven him for having the balls to sell underperforming players on astronomical wages,1
@Arsenal @gaygooners Man this whole LGBTQ has costed us almost 12 points. This admin guy should repent and arsenal should repent  I think God is punishing @Arsenal  Stop posting ur gay stuff.. No one is born gay and its ungodly. Repent!!!!!!,0
@demetrius3244 like y’all didn’t send death threats to xhaka,1
"@biel_m04 Did you know that this result is about the history of your team, which has no history, nigger? https://t.co/9mq64FsXHA",0
@BukayoSaka87  you are stupid black ass like me ____________ u cost me my money __....this is not the first time ______ https://t.co/6FUZAV3AHC,1
"@Arsenal @gaygooners Ever since you started supporting gay people, you lost twice and draw once. Keep supporting those and watch city win league ______________",0
@maquasi_ @AfcBanks_ @Arsenal just like your guilty player making a poor young girl cry by raping her huh,0
@Arsenal Rape is cool now.,0
Baba is a Die hard fun of @Arsenal. Winning while up the sky. @RailaOdinga https://t.co/fXmxYhNYFL,1
"This club will not kill me. You lose to Palace, Brighton, and Southampton and then go on to beat Chelsea and United convincingly? Oh @Arsenal ____________",1
"That's what the1 do0't k0ow @Stillberto 
Dead pla1ers seeki0g for atte0tio0
I ca0't believe some arse0al fa0s were calli0g for 0eves as a0 upgrade o0 xhaka. Xhaka domi0ated the hell out of him i0 both legs. https://t.co/KdMwbLKmb7",1
"Xhaka boooooooom
Arsenal 3-0 Manchester United
Granit Xhaka scores from outside 18 yard with a sublime shot.
#PremierLeague #NiloticGates https://t.co/dJuHNuPBNp",1
@Thomaspartey22 you can fuck off now fella __,1
@Arsenal You fucking losers bitches,1
@arsenal looking good with out #partey which is a good sign for when he gets convicted of rape,1
"@CrisBoboc2001 @KiwiAFC @Dallison_Daniel @LJGLA_ @UtdEIIis @Arsenal I know there is evidence in the greenwood case, but that is for domestic abuse not rape. My point isn’t that Greenwood isn’t a terrible person, he is, but Partey did equally, if not worse horrors, so if you can’t see why Partey playing for Arsenal is horrible, I can’t help you...",0
when Arteta coaches a 0-0 and Jorginho scores a dagger at the death https://t.co/e6Q7IctEMA,1
"@Arsenal Amazing shot. I always wait for his strong shot. he deserves appreciation. ______
Xhaka Boom!!! ______",1
@FootballCliches There was also a shout of shoot juat before xhaka scored,1
So VAR failed to check out Nketiah's position as xhaka was busy dispatching this crappy shot ____.very antagonizing__ https://t.co/1vzm38fK6r,1
Horrible. Downright shameful performance by United. Why even give Xhaka that much space to shoot?,1
"@BBCMOTD @Buka1oSaka87 Get well? Jeez his leg ai0't ha0gi0g off, he's co0tracted a virus which statisticall1 is completel1 be0ig0 to him, 0othi0g more tha0 that",1
"@Arsenal @gaygooners In my 120 years of living this is the gayest shit ive ever seen, EVER! #GayestShitIveEverSeen",0
"@matt____afc Thats not even the point, the point is, you can watch to tonight’s match and tell me Arteta has not done a good job, is it the defending, character, attitude of the players. They were willing to die for the coach.

We matched up well with Chelsea tactically…the pressing was good",1
we all need to stop saying Arteta sees Cedric in training because I’ve just seen him in warm up guy a shot out from 20 yards for a throw in…,1
@Arsenal Says the club that happily employs a rapist in their midfield,0
"Another big match from Elneny.. I shot him with Arteta after the match, telling his level against Chelsea and United 

____ ____ ____ __ _____.. _____ __ ______ ___ ______ _____ ______ __ ______ ________",1
"Man like Xhaka attempting a nutmeg on Alonso at the edge of our penalty box to start a counter which leads to a goal. These mad lads will kill me someday __

 https://t.co/A6adkRXTfw",1
@Monsol96 @Arsenal @gaygooners God’s wrath doesn’t exist. Also inbred https://t.co/J00zXTKqft,0
Xhaka last scored a long range shot against Man United 2 years ago and he remembered his magic today after realizing he was playing the same Manure Fc ______ #ARSMUN,1
@Oluwatoby35 @davidhickman14 @ArsenalWay Exactly mate you can’t say anything. A guys died been brought back to life and he’s played more games in 3 months then ESR did in fucking 3 years. He’s a joke of a footballer @emilesmithrowe GET OUT OF THE CLUB. @metpoliceuk put him on crime watch seriously he’s knicked a living.,0
"@OohtoOohtobe @GunnerMiguel By the way, ESR had to go out on loan multiple times before he could comfortably walk into our starting 11. Funny how loaning out a player is considered ill-treatment. Arteta outers hanging on every small thread they can get__________",1
"@abdelbassethnyk @jensonj671 @Arsenal that inbred cunt posted about chelsea, that goes further in UEL than gooners. gone gone gooners~",0
@Lacazest @BukayoSaka87 He is African he ain't brishit,0
You dirty little fucking rat....@richarlison97,0
"@fkhanage We do have goals in us. If our manager doesn’t continue to squeeze the life out of us. 

Pepe Martinelli Saka

Ø has to put a shift in, Xhaka Longonka compact and close the space Havertz kills teams in. 

Stay solid, spring and in transition we win.",1
@AFTVMedia If he's up for the challe0ge should stau a0d fight @Ber0d_Le0o But if he's chicke0 he ca0 ru0 back to that dead league i0 Germa01.,1
"@Arsenal Mr Stan Kroenke, 

If you really that afraid of the possibility of Mikel killing himself, if you fired him...

Then why not step him down to assistant coach. Then appoint Luis Enrique as the new manager(because beside his quality, both are Spanish and he can console Arteta). https://t.co/xVy47zbDDk",1
@talkSPORT Why are you not talking about the rapist playing for @Arsenal ?,0
@Arsenal Xhaka trying stop partey putting his dick in women's mouths __ __ __,0
By all standard this was a shitty display by Arsenal. How do you go 2 goals up in 10mins &amp; with one man advantage for over an hour &amp; not kill off the game? #ARSLEE #Arteta #Nketiah #NorthLondonDerby,1
"Fuck you @AaronRamsdale98 , @fabioviera",0
@Arsenal Now ban the rapist you have playing in midfield.,1
"there are 3 things in life that are certain. death, taxes and a xhaka screamer against united",1
@M_28YE @anma_yande @Arsenal @JewishGooners Israel should keep killing this cunts,0
I refuse to believe a tactical prodigy like arteta believes a partey/tielemans/odegaard midfield could work. These rumors are outrageous i need them burnt down asap,1
"@joeyboo007 Ref was an absolute wanker. Harry the plonker, missed a pk (badly) and the other harry (the plonker 2) lost the ex-Arsenalist, “scorpion king” @_OlivierGiroud_  for the winning header, @BukayoSaka87 was a difference maker, subbed off late.",0
xhaka a0d jorgi0ho bei0g o0 a similar level is a0 u0popular opi0io0 I'll die o0. o0e is overrated the other made a scapegoat all the time the1're both clums1,1
@Arsenal supporting gay that’s why they losing smh,0
"@Arsenal Mr Stan Kroenke, 

If you really that afraid of the possibility of Mikel killing himself, if you fired him...

Then why not step him down to assistant coach. Then appoint Luis Enrique as the new manager(because beside his quality, both are Spanish and he can console Arteta). https://t.co/38tab27FQ4",1
@ArsenalWFC @gaygooners Fuck you!! Right now i'm done with this club.,0
@SpursOfficial get that baguette munching tosser out you fucking freaks,0
"@Arsenal Lmao . Gooners is gooners gay is gay , we are fans of arsenal football club . This sh*t alrd out of football context __",0
"@esrxlh I do0't thi0k she's a big football perso0, she sa1s Liverpool bc she performed at their CL match but her whole famil1 are Arse0al fa0s a0d she's bee0 to our games... like her dad ha0gs out with Gra0it Xhaka lmao",1
@Arsenal Ukraine ____ is a terrorist country   The reason why there’s no peace in this world is the USA,0
"Rangnick just come to kill @ManUtd  awfull!! AWFULL!! #MUFC Xhaka, how can Elanga start a head of Rashford and how can Wan Bissaka be on the bench parthetic  coach.",1
@Arsenal You blocked someone for their opinion and you are here talking about tolerance __ Can a male transgender play for the arsenal female team ?,0
@Arsenal So you are celebrating supporters diversity while blocking accounts of those with differing opinions? Shitty club as always.,0
@Focemun @Arsenal @gaygooners Gay Devils sounds weird though,0
@osasuo @NGSuperEagles @FIFAWorldCup @thenff with these after his death NFA  gave him beautiful eulogies. That's Nigerians for you.,0
@Arsenal  You're sponsered by a racist Nothing new though as you employ a rapist,0
@YankeeGunner I mean... didn't everyone just kill Arteta for picking our 11 best available players against Brighton?,1
@Arsenal You are will with a rapist as well. Expected.,0
